member	value
#campaign_group_member_criteria_values_tables;0;db/campaign_group_member_criteria_values_tables/derpy_chd_zharr_exchange
derpy_chd_ex_teb_feed_call	7441
derpy_chd_ex_teb_feed_wrath	7442
derpy_chd_ex_teb_feed_shock	7443
derpy_chd_ex_teb_feed_delist	7444
derpy_chd_ex_def_feed_call	7471
derpy_chd_ex_def_feed_wrath	7472
derpy_chd_ex_def_feed_shock	7473
derpy_chd_ex_def_feed_delist	7474
derpy_chd_ex_hef_feed_call	7461
derpy_chd_ex_hef_feed_wrath	7462
derpy_chd_ex_hef_feed_shock	7463
derpy_chd_ex_hef_feed_delist	7464
derpy_chd_ex_skv_feed_call	7431
derpy_chd_ex_skv_feed_wrath	7432
derpy_chd_ex_skv_feed_shock	7433
derpy_chd_ex_skv_feed_delist	7434
derpy_chd_ex_feed_call	7401
derpy_chd_ex_feed_wrath	7402
derpy_chd_ex_feed_shock	7403
derpy_chd_ex_feed_delist	7404
derpy_chd_ex_cth_feed_call	7421
derpy_chd_ex_cth_feed_wrath	7422
derpy_chd_ex_cth_feed_shock	7423
derpy_chd_ex_cth_feed_delist	7424
derpy_chd_ex_dwf_feed_call	7451
derpy_chd_ex_dwf_feed_wrath	7452
derpy_chd_ex_dwf_feed_shock	7453
derpy_chd_ex_dwf_feed_delist	7454
derpy_chd_ex_emp_feed_call	7411
derpy_chd_ex_emp_feed_wrath	7412
derpy_chd_ex_emp_feed_shock	7413
derpy_chd_ex_emp_feed_delist	7414
