group	id	priority
#campaign_group_members_tables;1;db/campaign_group_members_tables/derpy_chd_zharr_exchange
derpy_chd_ex_teb_feed_call	derpy_chd_ex_teb_feed_call	0
derpy_chd_ex_teb_feed_wrath	derpy_chd_ex_teb_feed_wrath	0
derpy_chd_ex_teb_feed_shock	derpy_chd_ex_teb_feed_shock	0
derpy_chd_ex_teb_feed_delist	derpy_chd_ex_teb_feed_delist	0
derpy_chd_ex_def_feed_call	derpy_chd_ex_def_feed_call	0
derpy_chd_ex_def_feed_wrath	derpy_chd_ex_def_feed_wrath	0
derpy_chd_ex_def_feed_shock	derpy_chd_ex_def_feed_shock	0
derpy_chd_ex_def_feed_delist	derpy_chd_ex_def_feed_delist	0
derpy_chd_ex_hef_feed_call	derpy_chd_ex_hef_feed_call	0
derpy_chd_ex_hef_feed_wrath	derpy_chd_ex_hef_feed_wrath	0
derpy_chd_ex_hef_feed_shock	derpy_chd_ex_hef_feed_shock	0
derpy_chd_ex_hef_feed_delist	derpy_chd_ex_hef_feed_delist	0
derpy_chd_ex_skv_feed_call	derpy_chd_ex_skv_feed_call	0
derpy_chd_ex_skv_feed_wrath	derpy_chd_ex_skv_feed_wrath	0
derpy_chd_ex_skv_feed_shock	derpy_chd_ex_skv_feed_shock	0
derpy_chd_ex_skv_feed_delist	derpy_chd_ex_skv_feed_delist	0
derpy_chd_ex_feed_call	derpy_chd_ex_feed_call	0
derpy_chd_ex_feed_wrath	derpy_chd_ex_feed_wrath	0
derpy_chd_ex_feed_shock	derpy_chd_ex_feed_shock	0
derpy_chd_ex_feed_delist	derpy_chd_ex_feed_delist	0
derpy_chd_ex_cth_feed_call	derpy_chd_ex_cth_feed_call	0
derpy_chd_ex_cth_feed_wrath	derpy_chd_ex_cth_feed_wrath	0
derpy_chd_ex_cth_feed_shock	derpy_chd_ex_cth_feed_shock	0
derpy_chd_ex_cth_feed_delist	derpy_chd_ex_cth_feed_delist	0
derpy_chd_ex_dwf_feed_call	derpy_chd_ex_dwf_feed_call	0
derpy_chd_ex_dwf_feed_wrath	derpy_chd_ex_dwf_feed_wrath	0
derpy_chd_ex_dwf_feed_shock	derpy_chd_ex_dwf_feed_shock	0
derpy_chd_ex_dwf_feed_delist	derpy_chd_ex_dwf_feed_delist	0
derpy_chd_ex_emp_feed_call	derpy_chd_ex_emp_feed_call	0
derpy_chd_ex_emp_feed_wrath	derpy_chd_ex_emp_feed_wrath	0
derpy_chd_ex_emp_feed_shock	derpy_chd_ex_emp_feed_shock	0
derpy_chd_ex_emp_feed_delist	derpy_chd_ex_emp_feed_delist	0
