campaign_group	resource	initial_amount
#campaign_group_pooled_resources_tables;1;db/campaign_group_pooled_resources_tables/derpy_chd_zharr_exchange
wh3_dlc23_feature_chaos_dwarfs	derpy_chd_ex_hold_animals	0
wh_main_feature_all	derpy_chd_ex_hold_animals	0
wh3_dlc23_feature_chaos_dwarfs	derpy_chd_ex_hold_dyes	0
wh_main_feature_all	derpy_chd_ex_hold_dyes	0
wh3_dlc23_feature_chaos_dwarfs	derpy_chd_ex_hold_gems	0
wh_main_feature_all	derpy_chd_ex_hold_gems	0
wh3_dlc23_feature_chaos_dwarfs	derpy_chd_ex_hold_gold_idols	0
wh_main_feature_all	derpy_chd_ex_hold_gold_idols	0
wh3_dlc23_feature_chaos_dwarfs	derpy_chd_ex_hold_ivory	0
wh_main_feature_all	derpy_chd_ex_hold_ivory	0
wh3_dlc23_feature_chaos_dwarfs	derpy_chd_ex_hold_medicine	0
wh_main_feature_all	derpy_chd_ex_hold_medicine	0
wh3_dlc23_feature_chaos_dwarfs	derpy_chd_ex_hold_obsidian	0
wh_main_feature_all	derpy_chd_ex_hold_obsidian	0
wh3_dlc23_feature_chaos_dwarfs	derpy_chd_ex_hold_rom_furs	0
wh_main_feature_all	derpy_chd_ex_hold_rom_furs	0
wh3_dlc23_feature_chaos_dwarfs	derpy_chd_ex_hold_rom_glass	0
wh_main_feature_all	derpy_chd_ex_hold_rom_glass	0
wh3_dlc23_feature_chaos_dwarfs	derpy_chd_ex_hold_rom_iron	0
wh_main_feature_all	derpy_chd_ex_hold_rom_iron	0
wh3_dlc23_feature_chaos_dwarfs	derpy_chd_ex_hold_rom_lead	0
wh_main_feature_all	derpy_chd_ex_hold_rom_lead	0
wh3_dlc23_feature_chaos_dwarfs	derpy_chd_ex_hold_rom_marble	0
wh_main_feature_all	derpy_chd_ex_hold_rom_marble	0
wh3_dlc23_feature_chaos_dwarfs	derpy_chd_ex_hold_rom_textiles	0
wh_main_feature_all	derpy_chd_ex_hold_rom_textiles	0
wh3_dlc23_feature_chaos_dwarfs	derpy_chd_ex_hold_rom_timber	0
wh_main_feature_all	derpy_chd_ex_hold_rom_timber	0
wh3_dlc23_feature_chaos_dwarfs	derpy_chd_ex_hold_rom_wine	0
wh_main_feature_all	derpy_chd_ex_hold_rom_wine	0
wh3_dlc23_feature_chaos_dwarfs	derpy_chd_ex_hold_spices	0
wh_main_feature_all	derpy_chd_ex_hold_spices	0
wh3_dlc23_feature_chaos_dwarfs	derpy_chd_ex_hold_trinkets	0
wh_main_feature_all	derpy_chd_ex_hold_trinkets	0
