key	localised_description	localised_title	bundle_target	priority	ui_icon	is_global_effect	show_in_3d_space	owner_only
#effect_bundles_tables;4;db/effect_bundles_tables/derpy_chd_zharr_exchange
derpy_chd_ex_trade_neg40	Commodity prices are depressed and this faction's trade goods fetch less.	Zharr Exchange	faction	1	treasury.png	true	false	true
derpy_chd_ex_trade_neg30	Commodity prices are depressed and this faction's trade goods fetch less.	Zharr Exchange	faction	1	treasury.png	true	false	true
derpy_chd_ex_trade_neg20	Commodity prices are depressed and this faction's trade goods fetch less.	Zharr Exchange	faction	1	treasury.png	true	false	true
derpy_chd_ex_trade_neg10	Commodity prices are depressed and this faction's trade goods fetch less.	Zharr Exchange	faction	1	treasury.png	true	false	true
derpy_chd_ex_trade_pos10	Commodity prices are high and this faction's trade goods are in demand.	Zharr Exchange	faction	1	treasury.png	true	false	true
derpy_chd_ex_trade_pos20	Commodity prices are high and this faction's trade goods are in demand.	Zharr Exchange	faction	1	treasury.png	true	false	true
derpy_chd_ex_trade_pos30	Commodity prices are high and this faction's trade goods are in demand.	Zharr Exchange	faction	1	treasury.png	true	false	true
derpy_chd_ex_trade_pos40	Commodity prices are high and this faction's trade goods are in demand.	Zharr Exchange	faction	1	treasury.png	true	false	true
derpy_chd_ex_pos_neg02	This faction has sold the iron, timber and obsidian its armies were counting on.	War Stocks	faction	1	replenishment.png	true	false	true
derpy_chd_ex_pos_neg01	This faction has sold the iron, timber and obsidian its armies were counting on.	War Stocks	faction	1	replenishment.png	true	false	true
derpy_chd_ex_pos_pos01	This faction's stores of iron, timber and obsidian keep its armies in the field.	War Stocks	faction	1	replenishment.png	true	false	true
derpy_chd_ex_pos_pos02	This faction's stores of iron, timber and obsidian keep its armies in the field.	War Stocks	faction	1	replenishment.png	true	false	true
derpy_chd_ex_stock_animals_1	Enough of it stacked in the yards that the work no longer waits on a caravan.	Stockpile: Exotic Animals	faction	1	cargo.png	true	false	true
derpy_chd_ex_stock_animals_2	The sheds are full and guarded, and the overseers have stopped rationing it.	Warehouse: Exotic Animals	faction	1	cargo.png	true	false	true
derpy_chd_ex_stock_animals_3	More than the Conclave can use and more than it will admit to holding.	Vaults: Exotic Animals	faction	1	cargo.png	true	false	true
derpy_chd_ex_stock_dyes_1	Enough of it stacked in the yards that the work no longer waits on a caravan.	Stockpile: Dyes	faction	1	cargo.png	true	false	true
derpy_chd_ex_stock_dyes_2	The sheds are full and guarded, and the overseers have stopped rationing it.	Warehouse: Dyes	faction	1	cargo.png	true	false	true
derpy_chd_ex_stock_dyes_3	More than the Conclave can use and more than it will admit to holding.	Vaults: Dyes	faction	1	cargo.png	true	false	true
derpy_chd_ex_stock_gems_1	Enough of it stacked in the yards that the work no longer waits on a caravan.	Stockpile: Gemstones	faction	1	cargo.png	true	false	true
derpy_chd_ex_stock_gems_2	The sheds are full and guarded, and the overseers have stopped rationing it.	Warehouse: Gemstones	faction	1	cargo.png	true	false	true
derpy_chd_ex_stock_gems_3	More than the Conclave can use and more than it will admit to holding.	Vaults: Gemstones	faction	1	cargo.png	true	false	true
derpy_chd_ex_stock_gold_idols_1	Enough of it stacked in the yards that the work no longer waits on a caravan.	Stockpile: Golden Idols	faction	1	cargo.png	true	false	true
derpy_chd_ex_stock_gold_idols_2	The sheds are full and guarded, and the overseers have stopped rationing it.	Warehouse: Golden Idols	faction	1	cargo.png	true	false	true
derpy_chd_ex_stock_gold_idols_3	More than the Conclave can use and more than it will admit to holding.	Vaults: Golden Idols	faction	1	cargo.png	true	false	true
derpy_chd_ex_stock_ivory_1	Enough of it stacked in the yards that the work no longer waits on a caravan.	Stockpile: Tusks	faction	1	cargo.png	true	false	true
derpy_chd_ex_stock_ivory_2	The sheds are full and guarded, and the overseers have stopped rationing it.	Warehouse: Tusks	faction	1	cargo.png	true	false	true
derpy_chd_ex_stock_ivory_3	More than the Conclave can use and more than it will admit to holding.	Vaults: Tusks	faction	1	cargo.png	true	false	true
derpy_chd_ex_stock_medicine_1	Enough of it stacked in the yards that the work no longer waits on a caravan.	Stockpile: Medicinal Plants	faction	1	cargo.png	true	false	true
derpy_chd_ex_stock_medicine_2	The sheds are full and guarded, and the overseers have stopped rationing it.	Warehouse: Medicinal Plants	faction	1	cargo.png	true	false	true
derpy_chd_ex_stock_medicine_3	More than the Conclave can use and more than it will admit to holding.	Vaults: Medicinal Plants	faction	1	cargo.png	true	false	true
derpy_chd_ex_stock_obsidian_1	Enough of it stacked in the yards that the work no longer waits on a caravan.	Stockpile: Carved Obsidian	faction	1	cargo.png	true	false	true
derpy_chd_ex_stock_obsidian_2	The sheds are full and guarded, and the overseers have stopped rationing it.	Warehouse: Carved Obsidian	faction	1	cargo.png	true	false	true
derpy_chd_ex_stock_obsidian_3	More than the Conclave can use and more than it will admit to holding.	Vaults: Carved Obsidian	faction	1	cargo.png	true	false	true
derpy_chd_ex_stock_rom_furs_1	Enough of it stacked in the yards that the work no longer waits on a caravan.	Stockpile: Furs	faction	1	cargo.png	true	false	true
derpy_chd_ex_stock_rom_furs_2	The sheds are full and guarded, and the overseers have stopped rationing it.	Warehouse: Furs	faction	1	cargo.png	true	false	true
derpy_chd_ex_stock_rom_furs_3	More than the Conclave can use and more than it will admit to holding.	Vaults: Furs	faction	1	cargo.png	true	false	true
derpy_chd_ex_stock_rom_glass_1	Enough of it stacked in the yards that the work no longer waits on a caravan.	Stockpile: Dwarf Beer	faction	1	cargo.png	true	false	true
derpy_chd_ex_stock_rom_glass_2	The sheds are full and guarded, and the overseers have stopped rationing it.	Warehouse: Dwarf Beer	faction	1	cargo.png	true	false	true
derpy_chd_ex_stock_rom_glass_3	More than the Conclave can use and more than it will admit to holding.	Vaults: Dwarf Beer	faction	1	cargo.png	true	false	true
derpy_chd_ex_stock_rom_iron_1	Enough of it stacked in the yards that the work no longer waits on a caravan.	Stockpile: Iron	faction	1	cargo.png	true	false	true
derpy_chd_ex_stock_rom_iron_2	The sheds are full and guarded, and the overseers have stopped rationing it.	Warehouse: Iron	faction	1	cargo.png	true	false	true
derpy_chd_ex_stock_rom_iron_3	More than the Conclave can use and more than it will admit to holding.	Vaults: Iron	faction	1	cargo.png	true	false	true
derpy_chd_ex_stock_rom_lead_1	Enough of it stacked in the yards that the work no longer waits on a caravan.	Stockpile: Salt	faction	1	cargo.png	true	false	true
derpy_chd_ex_stock_rom_lead_2	The sheds are full and guarded, and the overseers have stopped rationing it.	Warehouse: Salt	faction	1	cargo.png	true	false	true
derpy_chd_ex_stock_rom_lead_3	More than the Conclave can use and more than it will admit to holding.	Vaults: Salt	faction	1	cargo.png	true	false	true
derpy_chd_ex_stock_rom_marble_1	Enough of it stacked in the yards that the work no longer waits on a caravan.	Stockpile: Marble	faction	1	cargo.png	true	false	true
derpy_chd_ex_stock_rom_marble_2	The sheds are full and guarded, and the overseers have stopped rationing it.	Warehouse: Marble	faction	1	cargo.png	true	false	true
derpy_chd_ex_stock_rom_marble_3	More than the Conclave can use and more than it will admit to holding.	Vaults: Marble	faction	1	cargo.png	true	false	true
derpy_chd_ex_stock_rom_textiles_1	Enough of it stacked in the yards that the work no longer waits on a caravan.	Stockpile: Pottery	faction	1	cargo.png	true	false	true
derpy_chd_ex_stock_rom_textiles_2	The sheds are full and guarded, and the overseers have stopped rationing it.	Warehouse: Pottery	faction	1	cargo.png	true	false	true
derpy_chd_ex_stock_rom_textiles_3	More than the Conclave can use and more than it will admit to holding.	Vaults: Pottery	faction	1	cargo.png	true	false	true
derpy_chd_ex_stock_rom_timber_1	Enough of it stacked in the yards that the work no longer waits on a caravan.	Stockpile: Timber	faction	1	cargo.png	true	false	true
derpy_chd_ex_stock_rom_timber_2	The sheds are full and guarded, and the overseers have stopped rationing it.	Warehouse: Timber	faction	1	cargo.png	true	false	true
derpy_chd_ex_stock_rom_timber_3	More than the Conclave can use and more than it will admit to holding.	Vaults: Timber	faction	1	cargo.png	true	false	true
derpy_chd_ex_stock_rom_wine_1	Enough of it stacked in the yards that the work no longer waits on a caravan.	Stockpile: Wine	faction	1	cargo.png	true	false	true
derpy_chd_ex_stock_rom_wine_2	The sheds are full and guarded, and the overseers have stopped rationing it.	Warehouse: Wine	faction	1	cargo.png	true	false	true
derpy_chd_ex_stock_rom_wine_3	More than the Conclave can use and more than it will admit to holding.	Vaults: Wine	faction	1	cargo.png	true	false	true
derpy_chd_ex_stock_spices_1	Enough of it stacked in the yards that the work no longer waits on a caravan.	Stockpile: Spices	faction	1	cargo.png	true	false	true
derpy_chd_ex_stock_spices_2	The sheds are full and guarded, and the overseers have stopped rationing it.	Warehouse: Spices	faction	1	cargo.png	true	false	true
derpy_chd_ex_stock_spices_3	More than the Conclave can use and more than it will admit to holding.	Vaults: Spices	faction	1	cargo.png	true	false	true
derpy_chd_ex_stock_trinkets_1	Enough of it stacked in the yards that the work no longer waits on a caravan.	Stockpile: Elven Trinkets	faction	1	cargo.png	true	false	true
derpy_chd_ex_stock_trinkets_2	The sheds are full and guarded, and the overseers have stopped rationing it.	Warehouse: Elven Trinkets	faction	1	cargo.png	true	false	true
derpy_chd_ex_stock_trinkets_3	More than the Conclave can use and more than it will admit to holding.	Vaults: Elven Trinkets	faction	1	cargo.png	true	false	true
derpy_chd_ex_teb_offering_animals	The feast is held at the Compact's expense and the crowd is told whose expense it was.	Consigned to the Temple: Exotic Animals	faction	1	icon_ritual_currency_favour_bundle.png	true	false	true
derpy_chd_ex_teb_offering_dyes	A house in good standing with the Compact is a house whose cargo clears the mole first.	Consigned to the Temple: Dyes	faction	1	icon_ritual_currency_favour_bundle.png	true	false	true
derpy_chd_ex_teb_offering_gems	A house in good standing with the Compact is a house whose cargo clears the mole first.	Consigned to the Temple: Gemstones	faction	1	icon_ritual_currency_favour_bundle.png	true	false	true
derpy_chd_ex_teb_offering_gold_idols	Gold in the strongroom buys letters of introduction, and letters buy people.	Consigned to the Temple: Golden Idols	faction	1	icon_ritual_currency_favour_bundle.png	true	false	true
derpy_chd_ex_teb_offering_ivory	The ivory endows a chair at Remas, and a chair returns findings to its endower.	Consigned to the Temple: Tusks	faction	1	icon_ritual_currency_favour_bundle.png	true	false	true
derpy_chd_ex_teb_offering_medicine	The surgeons are paid by the Compact and billeted with your companies.	Consigned to the Temple: Medicinal Plants	faction	1	icon_ritual_currency_favour_bundle.png	true	false	true
derpy_chd_ex_teb_offering_obsidian	The colleges take the glass and the wind runs deeper for those who paid.	Consigned to the Temple: Carved Obsidian	faction	1	icon_ritual_currency_favour_bundle.png	true	false	true
derpy_chd_ex_teb_offering_rom_furs	Furs, remounts and a courier's warrant: your columns keep the road in weather that closes it.	Consigned to the Temple: Furs	faction	1	icon_ritual_currency_favour_bundle.png	true	false	true
derpy_chd_ex_teb_offering_rom_glass	The feast is held at the Compact's expense and the crowd is told whose expense it was.	Consigned to the Temple: Dwarf Beer	faction	1	icon_ritual_currency_favour_bundle.png	true	false	true
derpy_chd_ex_teb_offering_rom_iron	The metal goes to the armourers of Miragliano and comes back as plate, on schedule.	Consigned to the Temple: Iron	faction	1	icon_ritual_currency_favour_bundle.png	true	false	true
derpy_chd_ex_teb_offering_rom_lead	The surgeons are paid by the Compact and billeted with your companies.	Consigned to the Temple: Salt	faction	1	icon_ritual_currency_favour_bundle.png	true	false	true
derpy_chd_ex_teb_offering_rom_marble	Materials pledged in advance are materials bought at last year's price.	Consigned to the Temple: Marble	faction	1	icon_ritual_currency_favour_bundle.png	true	false	true
