effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;3;db/effect_bundles_to_effects_junctions_tables/derpy_chd_zharr_exchange
derpy_chd_ex_trade_neg40	wh_main_effect_economy_trade_good_commodity_mod	faction_to_faction_own	-40.0000	start_turn_completed
derpy_chd_ex_trade_neg30	wh_main_effect_economy_trade_good_commodity_mod	faction_to_faction_own	-30.0000	start_turn_completed
derpy_chd_ex_trade_neg20	wh_main_effect_economy_trade_good_commodity_mod	faction_to_faction_own	-20.0000	start_turn_completed
derpy_chd_ex_trade_neg10	wh_main_effect_economy_trade_good_commodity_mod	faction_to_faction_own	-10.0000	start_turn_completed
derpy_chd_ex_trade_pos10	wh_main_effect_economy_trade_good_commodity_mod	faction_to_faction_own	10.0000	start_turn_completed
derpy_chd_ex_trade_pos20	wh_main_effect_economy_trade_good_commodity_mod	faction_to_faction_own	20.0000	start_turn_completed
derpy_chd_ex_trade_pos30	wh_main_effect_economy_trade_good_commodity_mod	faction_to_faction_own	30.0000	start_turn_completed
derpy_chd_ex_trade_pos40	wh_main_effect_economy_trade_good_commodity_mod	faction_to_faction_own	40.0000	start_turn_completed
derpy_chd_ex_stock_animals_1	wh3_dlc23_effect_force_chd_campaign_post_battle_labour	faction_to_character_own_factionwide_armytext	5.0000	start_turn_completed
derpy_chd_ex_stock_animals_2	wh3_dlc23_effect_force_chd_campaign_post_battle_labour	faction_to_character_own_factionwide_armytext	10.0000	start_turn_completed
derpy_chd_ex_stock_animals_3	wh3_dlc23_effect_force_chd_campaign_post_battle_labour	faction_to_character_own_factionwide_armytext	15.0000	start_turn_completed
derpy_chd_ex_stock_dyes_1	wh_main_effect_economy_trade_tariff_mod	faction_to_faction_own_unseen	3.0000	start_turn_completed
derpy_chd_ex_stock_dyes_2	wh_main_effect_economy_trade_tariff_mod	faction_to_faction_own_unseen	6.0000	start_turn_completed
derpy_chd_ex_stock_dyes_3	wh_main_effect_economy_trade_tariff_mod	faction_to_faction_own_unseen	9.0000	start_turn_completed
derpy_chd_ex_stock_gems_1	wh_main_effect_economy_trade_tariff_mod	faction_to_faction_own_unseen	3.0000	start_turn_completed
derpy_chd_ex_stock_gems_2	wh_main_effect_economy_trade_tariff_mod	faction_to_faction_own_unseen	6.0000	start_turn_completed
derpy_chd_ex_stock_gems_3	wh_main_effect_economy_trade_tariff_mod	faction_to_faction_own_unseen	9.0000	start_turn_completed
derpy_chd_ex_stock_gold_idols_1	wh2_main_effect_agent_cap_increase_all_heroes	faction_to_faction_own_unseen	1.0000	start_turn_completed
derpy_chd_ex_stock_gold_idols_2	wh2_main_effect_agent_cap_increase_all_heroes	faction_to_faction_own_unseen	2.0000	start_turn_completed
derpy_chd_ex_stock_gold_idols_3	wh2_main_effect_agent_cap_increase_all_heroes	faction_to_faction_own_unseen	3.0000	start_turn_completed
derpy_chd_ex_stock_ivory_1	wh_main_effect_technology_research_points	faction_to_faction_own_unseen	2.0000	start_turn_completed
derpy_chd_ex_stock_ivory_2	wh_main_effect_technology_research_points	faction_to_faction_own_unseen	4.0000	start_turn_completed
derpy_chd_ex_stock_ivory_3	wh_main_effect_technology_research_points	faction_to_faction_own_unseen	6.0000	start_turn_completed
derpy_chd_ex_stock_medicine_1	wh_main_effect_force_all_campaign_replenishment_rate	faction_to_force_own	3.0000	start_turn_completed
derpy_chd_ex_stock_medicine_2	wh_main_effect_force_all_campaign_replenishment_rate	faction_to_force_own	6.0000	start_turn_completed
derpy_chd_ex_stock_medicine_3	wh_main_effect_force_all_campaign_replenishment_rate	faction_to_force_own	9.0000	start_turn_completed
derpy_chd_ex_stock_obsidian_1	wh3_main_effect_winds_of_magic_pool_cap	faction_to_force_own	5.0000	start_turn_completed
derpy_chd_ex_stock_obsidian_2	wh3_main_effect_winds_of_magic_pool_cap	faction_to_force_own	10.0000	start_turn_completed
derpy_chd_ex_stock_obsidian_3	wh3_main_effect_winds_of_magic_pool_cap	faction_to_force_own	15.0000	start_turn_completed
derpy_chd_ex_stock_rom_furs_1	wh_main_effect_force_all_campaign_movement_range	faction_to_force_own	3.0000	start_turn_completed
derpy_chd_ex_stock_rom_furs_2	wh_main_effect_force_all_campaign_movement_range	faction_to_force_own	6.0000	start_turn_completed
derpy_chd_ex_stock_rom_furs_3	wh_main_effect_force_all_campaign_movement_range	faction_to_force_own	9.0000	start_turn_completed
derpy_chd_ex_stock_rom_glass_1	wh_main_effect_public_order_faction	faction_to_province_own	2.0000	start_turn_completed
derpy_chd_ex_stock_rom_glass_2	wh_main_effect_public_order_faction	faction_to_province_own	4.0000	start_turn_completed
derpy_chd_ex_stock_rom_glass_3	wh_main_effect_public_order_faction	faction_to_province_own	6.0000	start_turn_completed
derpy_chd_ex_stock_rom_iron_1	wh_main_effect_force_stat_armour	faction_to_force_own	2.0000	start_turn_completed
derpy_chd_ex_stock_rom_iron_2	wh_main_effect_force_stat_armour	faction_to_force_own	4.0000	start_turn_completed
derpy_chd_ex_stock_rom_iron_3	wh_main_effect_force_stat_armour	faction_to_force_own	6.0000	start_turn_completed
derpy_chd_ex_stock_rom_lead_1	wh_main_effect_force_all_campaign_replenishment_rate	faction_to_force_own	3.0000	start_turn_completed
derpy_chd_ex_stock_rom_lead_2	wh_main_effect_force_all_campaign_replenishment_rate	faction_to_force_own	6.0000	start_turn_completed
derpy_chd_ex_stock_rom_lead_3	wh_main_effect_force_all_campaign_replenishment_rate	faction_to_force_own	9.0000	start_turn_completed
derpy_chd_ex_stock_rom_marble_1	wh_main_effect_building_construction_cost_mod_all	faction_to_region_own	-3.0000	start_turn_completed
derpy_chd_ex_stock_rom_marble_2	wh_main_effect_building_construction_cost_mod_all	faction_to_region_own	-6.0000	start_turn_completed
derpy_chd_ex_stock_rom_marble_3	wh_main_effect_building_construction_cost_mod_all	faction_to_region_own	-9.0000	start_turn_completed
derpy_chd_ex_stock_rom_textiles_1	wh_main_effect_force_all_campaign_recruitment_cost_all	faction_to_force_own	-3.0000	start_turn_completed
derpy_chd_ex_stock_rom_textiles_2	wh_main_effect_force_all_campaign_recruitment_cost_all	faction_to_force_own	-6.0000	start_turn_completed
derpy_chd_ex_stock_rom_textiles_3	wh_main_effect_force_all_campaign_recruitment_cost_all	faction_to_force_own	-9.0000	start_turn_completed
derpy_chd_ex_stock_rom_timber_1	wh_main_effect_building_construction_cost_mod_all	faction_to_region_own	-3.0000	start_turn_completed
derpy_chd_ex_stock_rom_timber_2	wh_main_effect_building_construction_cost_mod_all	faction_to_region_own	-6.0000	start_turn_completed
derpy_chd_ex_stock_rom_timber_3	wh_main_effect_building_construction_cost_mod_all	faction_to_region_own	-9.0000	start_turn_completed
derpy_chd_ex_stock_rom_wine_1	wh_main_effect_public_order_faction	faction_to_province_own	2.0000	start_turn_completed
derpy_chd_ex_stock_rom_wine_2	wh_main_effect_public_order_faction	faction_to_province_own	4.0000	start_turn_completed
derpy_chd_ex_stock_rom_wine_3	wh_main_effect_public_order_faction	faction_to_province_own	6.0000	start_turn_completed
derpy_chd_ex_stock_spices_1	wh_main_effect_public_order_faction	faction_to_province_own	2.0000	start_turn_completed
derpy_chd_ex_stock_spices_2	wh_main_effect_public_order_faction	faction_to_province_own	4.0000	start_turn_completed
derpy_chd_ex_stock_spices_3	wh_main_effect_public_order_faction	faction_to_province_own	6.0000	start_turn_completed
derpy_chd_ex_stock_trinkets_1	wh_main_effect_economy_trade_tariff_mod	faction_to_faction_own_unseen	3.0000	start_turn_completed
derpy_chd_ex_stock_trinkets_2	wh_main_effect_economy_trade_tariff_mod	faction_to_faction_own_unseen	6.0000	start_turn_completed
derpy_chd_ex_stock_trinkets_3	wh_main_effect_economy_trade_tariff_mod	faction_to_faction_own_unseen	9.0000	start_turn_completed
derpy_chd_ex_teb_offering_animals	wh_main_effect_public_order_faction	faction_to_province_own	4.0000	start_turn_completed
derpy_chd_ex_teb_offering_dyes	wh_main_effect_economy_trade_tariff_mod	faction_to_faction_own_unseen	6.0000	start_turn_completed
derpy_chd_ex_teb_offering_gems	wh_main_effect_economy_trade_tariff_mod	faction_to_faction_own_unseen	6.0000	start_turn_completed
