event	flavour_text	group	image	secondary_detail	target	layout	layout_data	sound_event	context_located	override_icon	instant_open	ignore_instant_open_filters
#event_feed_message_events_tables;1;db/event_feed_message_events_tables/derpy_chd_zharr_exchange
scripted_persistent_event	wh_event_feed_string_all_null	derpy_chd_ex_teb_feed_call	emp/civilisation_up	wh_event_feed_string_scripted_event_secondary_detail	event_feed_target_faction	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Neutral	event_feed_none	event_rite_neutral.png	true	false
scripted_persistent_event	wh_event_feed_string_all_null	derpy_chd_ex_teb_feed_wrath	emp/civilisation_down	wh_event_feed_string_scripted_event_secondary_detail	event_feed_target_faction	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Negative	event_feed_none	event_rite_negative.png	true	false
scripted_transient_event	wh_event_feed_string_all_null	derpy_chd_ex_teb_feed_shock	emp/messenger	wh_event_feed_string_scripted_event_secondary_detail	event_feed_target_faction	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Neutral	event_feed_none		false	false
scripted_transient_event	wh_event_feed_string_all_null	derpy_chd_ex_teb_feed_delist	emp/funeral	wh_event_feed_string_scripted_event_secondary_detail	event_feed_target_faction	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Neutral	event_feed_none		false	false
scripted_persistent_event	wh_event_feed_string_all_null	derpy_chd_ex_def_feed_call	def/black_ark_created	wh_event_feed_string_scripted_event_secondary_detail	event_feed_target_faction	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Neutral	event_feed_none	event_rite_neutral.png	true	false
scripted_persistent_event	wh_event_feed_string_all_null	derpy_chd_ex_def_feed_wrath	def/civilisation_down	wh_event_feed_string_scripted_event_secondary_detail	event_feed_target_faction	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Negative	event_feed_none	event_rite_negative.png	true	false
scripted_transient_event	wh_event_feed_string_all_null	derpy_chd_ex_def_feed_shock	def/messenger	wh_event_feed_string_scripted_event_secondary_detail	event_feed_target_faction	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Neutral	event_feed_none		false	false
scripted_transient_event	wh_event_feed_string_all_null	derpy_chd_ex_def_feed_delist	def/funeral	wh_event_feed_string_scripted_event_secondary_detail	event_feed_target_faction	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Neutral	event_feed_none		false	false
scripted_persistent_event	wh_event_feed_string_all_null	derpy_chd_ex_hef_feed_call	hef/court_intrigue_2	wh_event_feed_string_scripted_event_secondary_detail	event_feed_target_faction	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Neutral	event_feed_none	event_rite_neutral.png	true	false
scripted_persistent_event	wh_event_feed_string_all_null	derpy_chd_ex_hef_feed_wrath	hef/civilisation_down	wh_event_feed_string_scripted_event_secondary_detail	event_feed_target_faction	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Negative	event_feed_none	event_rite_negative.png	true	false
scripted_transient_event	wh_event_feed_string_all_null	derpy_chd_ex_hef_feed_shock	hef/messenger	wh_event_feed_string_scripted_event_secondary_detail	event_feed_target_faction	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Neutral	event_feed_none		false	false
scripted_transient_event	wh_event_feed_string_all_null	derpy_chd_ex_hef_feed_delist	hef/funeral	wh_event_feed_string_scripted_event_secondary_detail	event_feed_target_faction	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Neutral	event_feed_none		false	false
scripted_persistent_event	wh_event_feed_string_all_null	derpy_chd_ex_skv_feed_call	skv/celebration	wh_event_feed_string_scripted_event_secondary_detail	event_feed_target_faction	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Neutral	event_feed_none	event_rite_neutral.png	true	false
scripted_persistent_event	wh_event_feed_string_all_null	derpy_chd_ex_skv_feed_wrath	skv/civilisation_down	wh_event_feed_string_scripted_event_secondary_detail	event_feed_target_faction	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Negative	event_feed_none	event_rite_negative.png	true	false
scripted_transient_event	wh_event_feed_string_all_null	derpy_chd_ex_skv_feed_shock	skv/messenger	wh_event_feed_string_scripted_event_secondary_detail	event_feed_target_faction	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Neutral	event_feed_none		false	false
scripted_transient_event	wh_event_feed_string_all_null	derpy_chd_ex_skv_feed_delist	skv/funeral	wh_event_feed_string_scripted_event_secondary_detail	event_feed_target_faction	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Neutral	event_feed_none		false	false
scripted_persistent_event	wh_event_feed_string_all_null	derpy_chd_ex_feed_call	chd/zharr_temple	wh_event_feed_string_scripted_event_secondary_detail	event_feed_target_faction	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Neutral	event_feed_none	event_rite_neutral.png	true	false
scripted_persistent_event	wh_event_feed_string_all_null	derpy_chd_ex_feed_wrath	chd/zharr_temple	wh_event_feed_string_scripted_event_secondary_detail	event_feed_target_faction	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Negative	event_feed_none	event_rite_negative.png	true	false
scripted_transient_event	wh_event_feed_string_all_null	derpy_chd_ex_feed_shock	chd/zharr_temple	wh_event_feed_string_scripted_event_secondary_detail	event_feed_target_faction	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Neutral	event_feed_none		false	false
scripted_transient_event	wh_event_feed_string_all_null	derpy_chd_ex_feed_delist	chd/zharr_temple	wh_event_feed_string_scripted_event_secondary_detail	event_feed_target_faction	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Neutral	event_feed_none		false	false
scripted_persistent_event	wh_event_feed_string_all_null	derpy_chd_ex_cth_feed_call	cth/ivory_road	wh_event_feed_string_scripted_event_secondary_detail	event_feed_target_faction	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Neutral	event_feed_none	event_rite_neutral.png	true	false
scripted_persistent_event	wh_event_feed_string_all_null	derpy_chd_ex_cth_feed_wrath	cth/civilisation_down	wh_event_feed_string_scripted_event_secondary_detail	event_feed_target_faction	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Negative	event_feed_none	event_rite_negative.png	true	false
scripted_transient_event	wh_event_feed_string_all_null	derpy_chd_ex_cth_feed_shock	cth/messenger	wh_event_feed_string_scripted_event_secondary_detail	event_feed_target_faction	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Neutral	event_feed_none		false	false
scripted_transient_event	wh_event_feed_string_all_null	derpy_chd_ex_cth_feed_delist	cth/funeral	wh_event_feed_string_scripted_event_secondary_detail	event_feed_target_faction	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Neutral	event_feed_none		false	false
scripted_persistent_event	wh_event_feed_string_all_null	derpy_chd_ex_dwf_feed_call	dwf/celebration	wh_event_feed_string_scripted_event_secondary_detail	event_feed_target_faction	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Neutral	event_feed_none	event_rite_neutral.png	true	false
scripted_persistent_event	wh_event_feed_string_all_null	derpy_chd_ex_dwf_feed_wrath	dwf/civilisation_down	wh_event_feed_string_scripted_event_secondary_detail	event_feed_target_faction	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Negative	event_feed_none	event_rite_negative.png	true	false
scripted_transient_event	wh_event_feed_string_all_null	derpy_chd_ex_dwf_feed_shock	dwf/messenger	wh_event_feed_string_scripted_event_secondary_detail	event_feed_target_faction	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Neutral	event_feed_none		false	false
scripted_transient_event	wh_event_feed_string_all_null	derpy_chd_ex_dwf_feed_delist	dwf/funeral	wh_event_feed_string_scripted_event_secondary_detail	event_feed_target_faction	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Neutral	event_feed_none		false	false
scripted_persistent_event	wh_event_feed_string_all_null	derpy_chd_ex_emp_feed_call	emp/civilisation_up	wh_event_feed_string_scripted_event_secondary_detail	event_feed_target_faction	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Neutral	event_feed_none	event_rite_neutral.png	true	false
