unique_id	factor	resource	minimum	maximum	specific_faction_set	sort_order
#pooled_resource_factor_junctions_tables;3;db/pooled_resource_factor_junctions_tables/derpy_chd_zharr_exchange
derpy_chd_ex_factor_animals	other	derpy_chd_ex_hold_animals	-2147483647	2147483647		0
derpy_chd_ex_factor_dyes	other	derpy_chd_ex_hold_dyes	-2147483647	2147483647		0
derpy_chd_ex_factor_gems	other	derpy_chd_ex_hold_gems	-2147483647	2147483647		0
derpy_chd_ex_factor_gold_idols	other	derpy_chd_ex_hold_gold_idols	-2147483647	2147483647		0
derpy_chd_ex_factor_ivory	other	derpy_chd_ex_hold_ivory	-2147483647	2147483647		0
derpy_chd_ex_factor_medicine	other	derpy_chd_ex_hold_medicine	-2147483647	2147483647		0
derpy_chd_ex_factor_obsidian	other	derpy_chd_ex_hold_obsidian	-2147483647	2147483647		0
derpy_chd_ex_factor_rom_furs	other	derpy_chd_ex_hold_rom_furs	-2147483647	2147483647		0
derpy_chd_ex_factor_rom_glass	other	derpy_chd_ex_hold_rom_glass	-2147483647	2147483647		0
derpy_chd_ex_factor_rom_iron	other	derpy_chd_ex_hold_rom_iron	-2147483647	2147483647		0
derpy_chd_ex_factor_rom_lead	other	derpy_chd_ex_hold_rom_lead	-2147483647	2147483647		0
derpy_chd_ex_factor_rom_marble	other	derpy_chd_ex_hold_rom_marble	-2147483647	2147483647		0
derpy_chd_ex_factor_rom_textiles	other	derpy_chd_ex_hold_rom_textiles	-2147483647	2147483647		0
derpy_chd_ex_factor_rom_timber	other	derpy_chd_ex_hold_rom_timber	-2147483647	2147483647		0
derpy_chd_ex_factor_rom_wine	other	derpy_chd_ex_hold_rom_wine	-2147483647	2147483647		0
derpy_chd_ex_factor_spices	other	derpy_chd_ex_hold_spices	-2147483647	2147483647		0
derpy_chd_ex_factor_trinkets	other	derpy_chd_ex_hold_trinkets	-2147483647	2147483647		0
derpy_chd_ex_factor_armaments	other	wh3_dlc23_chd_armaments	-2147483647	2147483647		0
derpy_chd_ex_factor_raw_materials	other	wh3_dlc23_chd_raw_materials	-2147483647	2147483647		0
